t=10,T1,T2,T3,T4,T5,T6,T7,T8,T9
4.29,163.86018626937403,150.07062108043925,123.91627538590441,50.46647730637514,42.935695998165976,-47.28788301188968,8.663117639810691,9.283982414394345,-11.445725493604531
4.3,164.2959913337799,151.36246102419528,125.06943383375189,50.60607400932345,42.995788021719164,-47.49586784594461,8.40169984997587,9.925677592612676,-10.769257039269418
4.3100000000000005,164.70376816321718,152.63024095153688,126.23067195321897,50.74758620599048,43.056091103267725,-47.70345419643318,8.111093883374153,10.536291564926817,-10.094405419383977
4.32,165.08340466472953,153.87279633534357,127.39896033214758,50.89102472580929,43.116606060051694,-47.91051397933506,7.791498830373324,11.114942796685197,-9.422131623844527
4.33,165.43482321180753,155.0889933868912,128.57326156409997,51.03639844532302,43.17733363584241,-48.11691954191089,7.443148688028555,11.660788172836316,-8.753393486733124
4.34,165.75798070941488,156.27773043260862,129.75253153800418,51.183714279599464,43.23827450019284,-48.32254381932514,7.066312035431055,12.173023997726172,-8.089144508318066
4.3500000000000005,166.05286866128006,157.4379392227995,130.93572065924783,51.33297717378559,43.29942924771436,-48.52726048321878,6.6612917318210965,12.650886949519354,-7.430332737609763
4.36,166.31951318786338,158.5685862476981,132.12177513226672,51.48419009725071,43.36079839743531,-48.73094409557224,6.2284245500182145,13.093655014907378,-6.777899614998621
4.37,166.55797499877633,159.66867396942592,133.30963821164718,51.63735404047431,43.42238239227588,-48.933470256978936,5.768080776524624,13.500648343362805,-6.132778856820542
4.38,166.76834932575872,160.7372420334982,134.49825147685073,51.792468014103065,43.4841815986,-49.134715756114254,5.280663767627868,13.871230067667689,-5.495895330827992
4.39,166.95076581503244,161.77336843664943,135.6865561092719,51.94952905033426,43.546196305857045,-49.33455871782993,4.766609466665872,14.20480707413209,-4.868163941898455
4.4,167.10538837639197,162.7761706247424,136.87349414904588,52.108532206869484,43.60842672632954,-49.5328787470882,4.2263858866807,14.500830703164429,-4.25048854892581
4.41,167.23241499181802,163.74480658254558,138.0580097886025,52.26947057304194,43.67087299495416,-49.7295570756025,3.6604925442531524,14.758797424088364,-3.6437608612484325
4.42,167.33207748487152,164.67847582492573,139.23905061350348,52.43233527842089,43.73353516925529,-49.92447670064187,3.0694598719633506,14.978249422432862,-3.048859393925272
4.43,167.40464124492937,165.57642039476025,140.41556889980188,52.59711550377196,43.796413229352616,-50.11752252868875,2.4538485719546563,15.15877516956416,-2.4666483863859607
4.44,167.45040491353487,166.4379257797208,141.58652287413716,52.76379849435445,43.85950707807119,-50.30858151314581,1.8142489447925094,15.300009917414316,-1.8979767657500446
4.45,167.46970003646,167.26232174199745,142.75087792663112,52.93236957539288,43.922816541150674,-50.49754278506398,1.1512801998043003,15.401636115794956,-1.3436771625573516
4.46,167.46289066480713,168.04898314967917,143.9076078820976,53.102812170226166,43.98634136754058,-50.68429778869632,0.4655897007294279,15.463383806024726,-0.8045648900639524
4.47,167.4303729229904,168.7973307254822,145.0556962270017,53.27510782055196,44.05008122979069,-50.86874041046996,-0.2421478069423766,15.48503094070714,-0.2814369729662426
4.48,167.3725745458383,169.50683178495802,146.19413735978927,53.44923620835372,44.114035724499956,-51.05076710947376,-0.9712310047227628,15.466403680399296,0.22492883535358477
4.49,167.28995436337004,170.177000841816,147.3219377701702,53.62517518112844,44.17820437291543,-51.230277037400995,-1.7209328378780897,15.40737657321726,0.71377495639505
4.5,167.18300175496165,170.80740019485606,148.4381172337766,53.80290077881482,44.24258662159277,-51.40717215907131,-2.4905013856679763,15.307872706013487,1.184364894540817
4.51,167.05223607249246,171.3976404941769,149.5417100202097,53.98238726244935,44.30718184312007,-51.58135737327512,-3.2791607647827123,15.167863825245139,1.6359841475643409
4.5200000000000005,166.8982060166965,171.9473811841174,150.6317660333164,54.163607145800235,44.371989336978245,-51.752740623695445,-4.0861120567965585,14.987370350020099,2.067941042613511
4.53,166.721488982955,172.45633091600095,151.70735195514453,54.346531228744084,44.437008330468245,-51.921233009020675,-4.910534265546263,14.76646134852896,2.479567566187409
4.54,166.52269038082588,172.92424792224546,152.7675523805173,54.5311286321925,44.50223797970195,-52.08674889086915,-5.751585296587385,14.505254474018349,2.8702201777215475
4.55,166.30244290645976,173.35094029684564,153.81147091280408,54.71736683589468,44.567677370716574,-52.24920599521805,-6.608402969527074,14.203915813109251,3.2392805744275868
4.5600000000000005,166.06140578780654,173.73626622893673,154.83823124332827,54.905211717873726,44.63332552065804,-52.408525510780805,-7.480106051259144,13.86265968752927,3.586156433249498
4.57,165.80026400431854,174.0801341856117,155.84697820857045,55.09462759541632,44.699181379032005,-52.564632183707275,-8.365795306644447,13.481748407409304,3.9102821252284
4.58,165.51972746576337,174.3825030186782,156.83687881865555,55.285577268546774,44.76524382906038,-52.717454407233525,-9.264554579459253,13.061491951763088,4.211119391974958
4.59,165.22053016471753,174.64338201593986,157.80712326002768,55.478022065118765,44.83151168910908,-52.86692430719583,-10.175451890539481,12.602247596904672,4.488157991102075
4.6000000000000005,164.90342930700214,174.86283090482712,158.75692587509982,55.67192188726353,44.89798371417615,-53.01297782389815,-11.097540549866014,12.104419500164756,4.740916314287901
4.61,164.56920440428618,175.04095977595122,159.68552610550157,55.867235260178795,44.96465859748218,-53.15555478815244,-12.02986029383105,11.568458209321632,4.968941961598292
4.62,164.2186563432252,175.17792895251532,160.59218940761173,56.06391938237824,45.03153497212659,-53.29459899306658,-12.97143843645508,10.994860122207559,5.171812283883142
4.63,163.8526064350487,175.27394881144465,161.47620814162002,56.26193017716316,45.098611412800096,-53.43005826187463,-13.921291031063678,10.384166902439064,5.3491348954569835
4.64,163.47189543237445,175.32927952773542,162.33690242147418,56.461222346156354,45.16588643758965,-53.56188450981924,-14.878424051709711,9.736964825273676,5.500548142120113
4.65,163.07738252504703,175.34423076363095,163.17362093326872,56.661749424166786,45.23335850984551,-53.690033801424754,-15.841834585024447,9.05388407412916,5.625721534563222
4.66,162.66994432013294,175.31916131172966,163.98574172523374,56.86346383506724,45.30102604009689,-53.81446640372884,-16.810512028387997,8.335597996626063,5.724356151412916
4.67,162.2504737925981,175.2544786608929,164.7726729539927,57.066316949554384,45.36888738805482,-53.93514683315636,-17.783439303285036,7.582822291848428,5.796184994529536
4.68,161.81987921833772,175.15063850792305,165.5338535964266,57.270259144057675,45.43694086467081,-54.052043897579004,-18.759594075095595,6.796314150509357,5.840973308138724
4.69,161.37908309537565,175.0081442269575,166.26875413244196,57.475239860428026,45.505184734235364,-54.16513073440532,-19.73794997508523,5.976871359332518,5.858518868128613
